,author,category,content,published_date,title
72,Dharna,technology,"Twitter has revealed the most 'retweeted' tweets of 2019, with 'World Record Egg' topping the list with 9.57 lakh retweets, followed by a video from K-pop group BTS. While 'Game of Thrones' was the most talked-about show, 'The Avengers: Endgame' dominated among tweets about movies. Among politicians, Donald Trump was the most discussed, while India's PM Narendra Modi ranked third.",2019-12-10T10:40:38.000Z,"Twitter reveals top tweets of 2019, says viral egg pic most retweeted"
73,Anushka Dixit,technology,"Apple may launch about six 'iPhone 12' models next year including 'iPhone 12 Pro Max 5G', Rosenblatt analyst Jun Zhang said. Apple wants to launch so many iPhone variants because of 5G, Zhang said, claiming that they may come in 4G as well. Apple analyst Ming-Chi Kuo had earlier reported that the new iPhones may come with Qualcomm X55 modem.
",2019-12-10T10:18:19.000Z,Apple may launch as many as six iPhones in 2020: Report
74,Anushka Dixit,technology,"ISRO will launch its second spy satellite called the Risat-2BR1 on December 11, which will help in monitoring disaster events, rescue missions and surveillance purposes. The Risat-2BR1, which has a life span of five years, will be accompanied by nine commercial satellites. The satellites will be launched from the Satish Dhawan Space Centre in Sriharikota at 3:25 pm.",2019-12-09T15:35:44.000Z,ISRO to launch 2nd spy satellite on Dec 11 to help monitor disasters 
75,Daisy Mowke,entertainment,"The first photo of veteran singer Lata Mangeshkar after she was discharged from Mumbai's Breach Candy Hospital, where she was admitted for 28 days, has surfaced online. Bollywood photographer Viral Bhayani shared it on Instagram and wrote, ""The nurses from Breach Candy Hospital who took care of legend #latamangeshkar."" The 90-year-old singer had revealed that she was diagnosed with pneumonia.",2019-12-10T04:40:59.000Z,1st picture of Lata after spending 28 days in hospital surfaces online
76,Daisy Mowke,entertainment,"A video that shows actor Shah Rukh Khan holding the train of his wife Gauri Khan's gown at an award show which was held on Monday has surfaced online. Many social media users praised the actor with comments like ""Always a gentleman"" and ""King for a reason"". The duo was named the Most Stylish Couple at the award function.",2019-12-10T06:33:55.000Z,SRK holds train of wife Gauri's gown at award show; video surfaces
77,Daisy Mowke,entertainment,"A video that shows Deepika Padukone crying at the trailer launch of 'Chhapaak', where she plays an acid attack survivor, has surfaced. ""Can you carry on? I'll do this later. I'm really sorry,"" she told director Meghna Gulzar while addressing the media. ""She hasn't seen the completed [trailer] before so it's...overwhelming,"" said Meghna as Vikrant Massey handed Deepika a handkerchief.",2019-12-10T08:47:25.000Z,Deepika cries at trailer launch of Chhapaak where she plays acid attack survivor
78,Daisy Mowke,entertainment,"During the trailer launch of 'Chhapaak', Deepika Padukone responded to a journalist who said it was ""scary"" to see her as an acid attack survivor. ""The words 'darr lagna', that's very wrong. We shouldn't use that vocabulary,"" she said. Deepika further said she told director Meghna Gulzar that she ""feels like herself"" on seeing her look for the first time.",2019-12-10T13:49:46.000Z,Shouldn't say 'darr lagta hai': Deepika to reporter on acid attack survivor look
79,Daisy Mowke,entertainment,"The trailer of Deepika Padukone starrer 'Chhapaak', where she portrays the role of acid attack survivor 'Malti', was released on Tuesday. The film is based on the life of Delhi-born Laxmi Agarwal, who was attacked with acid in 2005 by a man twice her age for rejecting his advances. Directed by Meghna Gulzar, 'Chhapaak' will release on January 10, 2020.",2019-12-10T08:38:54.000Z,"Trailer of Deepika's Chhapaak, where she plays acid attack survivor, released"
80,Daisy Mowke,entertainment,"Soha Ali Khan has said even though she was aware of certain things in the environment, motherhood has made her more particular. ""For example, I've always said 'Don't burst firecrackers on Diwali' but this year I was going [from] house to house saying 'If you wake up my [2-year-old] child [Inaaya] then you'll have me to deal with',"" she added. ",2019-12-10T10:41:50.000Z,"Went to houses on Diwali, told not to burst crackers & wake Inaaya: Soha"
81,Daisy Mowke,entertainment,"Hollywood actress Angelina Jolie met 22-year-old British actor Alex Thomas Smith while attending a production of the stage musical 'Dear Evan Hansen', of which Alex is a cast member. Alex shared pictures on Instagram and wrote, ""I showed her my tattoo...she loved it, SIGNED IT, kissed me on the cheek."" ""I will never recover from this,"" he added. ",2019-12-10T12:30:14.000Z,"Jolie meets 22-yr-old actor who has tattoo of her smoking on his arm, signs it"
82,Daisy Mowke,entertainment,"Actress Shweta Basu Prasad, known for starring in the 2002 film 'Makdee', on Monday announced her separation from husband Rohit Mittal after nearly a year of marriage. ""Thank you Rohit for the irreplaceable memories and always inspiring me. Have a great life ahead,"" she wrote. They had reportedly dated for 4 years before getting married on December 13 last year.",2019-12-10T06:33:35.000Z,Makdee actress Shweta announces separation from husband after 1yr of marriage
83,Daisy Mowke,entertainment,"Twitter India has shared the lists of the most tweeted handles across men and women in entertainment in 2019. While actress Sonakshi Sinha topped the list among women, actor Amitabh Bachchan's handle was the most tweeted handle among men. Besides entertainment, Twitter India also shared the lists of most tweeted handles in politics and sports for male and female each.",2019-12-10T11:39:29.000Z,"Sonakshi, Big B top 2019's most tweeted handles lists in entertainment in India"
84,Udit Gupta,entertainment,"Ayushmann Khurrana will play the lead role in the Hindi remake of Tamil film 'Ratsasan', according to reports. The remake rights of the film have been sold for a huge amount to a production house, reports added. The film, which featured Vishnu Vishal in its Tamil original, revolves around a cop who tracks down a serial killer who murders schoolgirls. ",2019-12-10T08:32:59.000Z,Ayushmann to star in Hindi remake of Tamil film 'Ratsasan': Reports
85,Vidushi Mishra,entertainment,"Actress Soha Ali Khan has said that she finds watching her two-year-old daughter Inaaya Naumi Kemmu grow both exciting and scary. ""This is the age where...she is absorbing everything...[and] repeating things...It's a scary time as well as an exciting time because she is exposed to so much,"" Soha added. She further said that she wants Inaaya to learn and grow.",2019-12-10T10:00:19.000Z,"It's scary, exciting: Soha on watching 2-yr-old daughter grow"
86,Udit Gupta,entertainment,"Taapsee Pannu, who'll play Indian Women ODI captain Mithali Raj in her biopic, has said her portrayal in the film is going to be difficult and challenging for her. ""I watch cricket...but I never played the game,"" she added. ""Mithali...already told me that 'I'd like to see how you play...cover drive!' So, I dream of cover drives now,"" Taapsee joked.",2019-12-10T06:51:51.000Z,It's going to be challenging for me: Taapsee on Mithali Raj's biopic
87,Vidushi Mishra,entertainment,"Several theatres in Jaipur have stopped screening 'Panipat' after protests against the film's portrayal of Maharaja Suraj Mal took place in Rajasthan. ""Several cinema halls...discontinued the screening...in view of the protest,"" Rajasthan Film Trade and Promotion Council's General Secretary Raj Bansal said. Rajasthan locals had burned 'Panipat' director Ashutosh Gowariker's effigies in protest.",2019-12-10T09:02:13.000Z,Jaipur theatres stop screening 'Panipat' after protests
88,Udit Gupta,entertainment,"Ananya Panday, while talking about her choice of films, said that she's not drawn towards ""misogynistic, sexist or gender-biased"" movies. ""As an audience, I'd not want to watch...film like that, so I'd not...choose...film like that either,"" she added. Ananya further said she'd rather sit at home and do nothing than pick a film in which she doesn't believe in. ",2019-12-10T11:23:12.000Z,I'm not drawn towards a sexist or gender-biased movie: Ananya
89,Atul Mishra,entertainment,"Singer Jennifer Lopez hosted the 'Saturday Night Live' and during her speech, she stripped her tuxedo to reveal an updated version of her iconic Versace gown which she wore at the 2000 Grammys. ""I walked the runway in Milan for the first time wearing a dress...20 years ago...people say I look better now than I did then,"" Lopez added.",2019-12-10T10:02:40.000Z,Some people say I look better now: Jennifer Lopez on SNL
90,Vidushi Mishra,entertainment,"The nominees for Best Actress (Drama) at the 77th Golden Globes include actresses Charlize Theron, Renee Zellweger, Cynthia Erivo, Scarlett Johansson and Saoirse Ronan. Moreover, actresses Beanie Feldstein, Emma Thompson, Ana de Armas, Awkwafina and Cate Blanchett have been nominated in Best Actress (Musical or Comedy) category. The Golden Globe Awards ceremony will air live on January 5, 2020.",2019-12-10T04:26:47.000Z,Who are the Best Actress nominees at Golden Globes 2020?
91,Atul Mishra,entertainment,"Commenting on rapes against women, Esha Gupta took to Instagram and wrote that we need a society where ""women stand with women, men stand with women, for crime against women"". ""We need a society where we aren't blamed for our clothes,"" she added. ""It isn't a 3 year old child's...fault.. only reason for rape is the rapist,"" Esha further wrote.",2019-12-10T08:58:16.000Z,Want a society where men stand with women: Esha on rape culture
92,Vidushi Mishra,entertainment,"Australian actress Rebel Wilson, who will be next seen in upcoming film 'Cats', revealed on a talk show that she has never been drunk in her ""entire life"". Wilson reportedly never tried alcohol before she was 25 years old as she had learned that alcohol kills brain cells. ""I cultivate this 'party girl' image...on Instagram...but it's not true,"" Wilson said.",2019-12-10T06:41:12.000Z,I've never been drunk in my entire life: Actress Rebel Wilson
93,Udit Gupta,entertainment,"Sharing a post on completion of nine years of his debut film 'Band Baaja Baaraat', Ranveer Singh on Tuesday took to social media to share a screenshot of the film. ""It was all a dream,"" he wrote. Ranveer won the Best Debut Actor at International Indian Film Academy and Filmfare Awards in 2011 for his role in 'Band Baaja Baaraat'.",2019-12-10T11:01:01.000Z,It was all a dream: Ranveer on 9 yrs of debut film 'Band Baaja...'
94,Dishant Sharma,entertainment,"Bollywood actor Suniel Shetty is set to be made NADA's brand ambassador on Tuesday. Speaking about the appointment, NADA Director General Navin Agarwal said, ""We felt that celebrities will have more outreach to the masses of the country as they have a lot of following."" Agarwal said NADA did not appoint a former athlete as they would have 'lacked clout'.",2019-12-10T11:20:33.000Z,Suniel Shetty to be made NADA's anti-doping brand ambassador
95,Udit Gupta,entertainment,"A 24-year-old singer from Noida, Sharvi Yadav, has done playback singing in the Hindi version of Disney's animated film 'Frozen 2'. Talking about it, Sharvi said that it was a ""dream come true"" for her to become the singing voice for Anna, who's one of the lead characters in the film. ""I've been...fan of the 'ice princess' since...school,"" she added.",2019-12-10T08:52:11.000Z,24-year-old Noida singer does Hindi playback in Disney's Frozen 2
96,Udit Gupta,entertainment,"Filmmaker Meghna Gulzar has said Deepika Padukone left her ""glamorous side"" behind to portray an acid attack survivor in her upcoming film 'Chhapaak'. She further said it was a difficult film to make both ""emotionally and logistically"". ""The acid attack survivors are in the film...They aren't used...in...song or something... Knowing them, we've found our inner strength through them,"" she added. 
",2019-12-10T12:24:38.000Z,Deepika left her glamorous side behind for Chhapaak: Director Meghna
97,Udit Gupta,entertainment,"Ritesh Sidhwani, one of the producers of 'Gully Boy', has said their team is trying to bring the Ranveer Singh and Alia Bhatt starrer film to the ""forefront"" at Oscars 2020. ""Maybe we'll get the award this time. Maybe, it'll be...first time for India,"" he added. It was declared as India's official entry in the Best International Feature Film category. ",2019-12-10T06:25:23.000Z,Maybe we'll get the Oscar this time: Gully Boy producer Ritesh 
98,Atul Mishra,entertainment,"Kangana Ranaut's sister Rangoli Chandel, who is an acid-attack survivor herself, praised Meghna Gulzar directorial 'Chhapaak' starring Deepika Padukone, Vikrant Massey after its trailer launch. ""Meghna, Deepika will earn a lot of tears from this film, what my family and I went through...was worse than death... story of an acid attack survivor need to reach this nation,"" Rangoli tweeted.",2019-12-10T10:51:40.000Z,"Deepika, Meghna will earn a lot of tears from 'Chhapaak': Rangoli"
99,Udit Gupta,entertainment,"Siddharth on Tuesday took to Twitter to criticise the support of Tamil Nadu CM Edappadi K Palaniswami for Citizenship (Amendment) Bill (CAB). ""Deeply ashamed that [Edappadi Palaniswami] represents...our people...[It] shows...his desperate need to remain powerful,"" he wrote. The bill aims to grant citizenship to non-Muslim refugees from Pakistan, Bangladesh and Afghanistan facing persecution. 
",2019-12-10T10:58:59.000Z,Deeply ashamed: Siddharth on Tamil Nadu CM supporting CAB
